// Made by SnakeInTheMirror
// Default profile(no sea), makes a little bit of everything but sea

//UNIVERSAL WEIGHTS/LIMITS

Limit ARMSEHAK 1
Limit ARMDRAGF 0
Limit CORFALC 0
Limit ARMAWAC 1
Limit CORAWAC 1
Limit CORHUNT 1
//LEVEL 2 SHIP LIMITS
Limit ARMCARRY 0
Limit CORCARRY 0
Limit CORSJAM 0
Limit ARMSCRAM 0
//LEVEL 2 HOVER LIMITS
Limit ARMPHOVR 0
Limit CORPHOVR 0
//LEVEL 3 VEHICLE LIMITS
Limit ARMSCUDD 1
Limit CORPREC 1
//LEVEL 3 AIRCRAFT LIMITS
Limit ARMODYC 2
Limit CORORCL 2
Limit ARMHERC 0
Limit CORMAT 0
Limit ARMBFB 2
Limit CORDAMA 2
//LEVEL 3 SHIP LIMITS
Limit ARMACAR 0
Limit CORACAR 0

//EASY
plan easy

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.8
Weight CORAK 0.8
Weight ARMROCK 0.1
Weight CORSTORM 0.1
Weight ARMHAM 0.1
Weight CORTHUD 0.1
Weight ARMJETH 0.6
Weight CORCRASH 0.6
Weight ARMWAR 0.1
Weight CORMAK 0.1
Weight ARMFLEA 0.4
Weight CORBEETL 0.1
Weight ARMHDPW 0.8
//LEVEL 1 VEHICLES WEIGHTS
Weight ARMFAV 0.8
Weight CORFAV 0.8
Weight ARMFLASH 0.4
Weight CORGATOR 0.6
Weight ARMSTUMP 0.1
Weight CORRAID 0.1
Weight ARMSAM 0.4
Weight CORMIST 0.4
Weight ARMJANUS 0.1
Weight CORLEVLR 0.1
Weight ARMRECCY 0.6
Weight CORGARP 0.4
Weight ARMMLV 0.0
Weight CORMLV 0.0
Weight CORLAS 0.1
Weight ARMLMART 0.1
//LEVEL 1 AIRCRAFT WEIGHTS
Weight ARMPEEP 0.2
Weight CORFINK 0.2
Weight ARMFIG 0.4
Weight CORVENG 0.4
Weight ARMBLKE 0.6
Weight CORMOSQ 0.6
Weight ARMTHUND 0.8
Weight CORSHAD 0.8
Weight ARMATLAS 0.0
Weight CORVALK 0.0
//LEVEL 1 SHIP WEIGHTS
Weight ARMPT 0.0
Weight CORPT 0.0
Weight ARMROY 0.0
Weight CORROY 0.0
Weight ARMTSHIP 0.0
Weight CORTSHIP 0.0
Weight ARMSUB 0.0
Weight CORSUB 0.0
Weight ARMVANG 0.0
Weight CORVIKNG 0.0
//LEVEL 1 HOVER WEIGHTS
Weight ARMSH 0.8
Weight CORSH 0.8
Weight ARMAH 0.6
Weight CORAH 0.6
Weight ARMANAC 0.1
Weight CORSNAP 0.1
Weight ARMTHOVR 0.0
Weight CORTHOVR 0.0
//LEVEL 1 SPIDER WEIGHTS
Weight ARMSPID 0.8
Weight ARMSPDLA 0.1
Weight ARMSPDRK 0.1
Weight ARMSPDAA 0.6
Weight ARMSPDAM 0.4
Weight ARMSPDR 0.0
Weight ARMSPDJ 0.0
Weight ARMSPDLR 0.2
Weight ARMTARAN 0.1
Weight ARMSPDF 0.1
Weight ARMARSPD 0.0
Weight ARMSHOCK 0.1
//LEVEL 1 TORTOISE WEIGHTS
Weight CORHATCH 0.8
Weight CORAVAL 0.1
Weight CORCHEL 0.1
Weight CORSLING 0.6
Weight CORWRECK 0.1
Weight CORSCAN 0.0
Weight CORTJAM 0.0
Weight CORSNIPE 0.1
Weight CORBOSS 0.1
Weight CORTNT 0.0
Weight CORAIRRT 0.0
Weight CORCABER 0.4
//LEVEL 2 KBOT WEIGHTS
Weight ARMZEUS 0.1
Weight CORPYRO 0.1
Weight ARMFIDO 0.1
Weight CORMORT 0.1
Weight CORCAN 0.1
Weight ARMVADER 0.0
Weight CORROACH 0.0
Weight ARMASER 0.0
Weight CORSPEC 0.0
Weight ARMFAST 0.8
Weight CORFAST 0.8
Weight ARMMARK 0.0
Weight CORVOYR 0.0
Weight ARMMAV 0.1
Weight COREAVR 0.1
Weight ARMSNIPE 0.1
Weight CORHRK 0.4
Weight CORSUMO 0.1
Weight ARMAMPH 0.6
Weight CORAMPH 0.6
Weight ARMDECOM 0.8
Weight CORDECOM 0.8
Weight ARMSPY 0.0
Weight CORSPY 0.0
Weight ARMFARK 0.0
Weight CORNECRO 0.0
Weight ARMROVER 0.1
//LEVEL 2 VEHICLE WEIGHTS
Weight ARMCROC 0.8
Weight CORSEAL 0.8
Weight ARMBULL 0.1
Weight CORREAP 0.1
Weight CORGOL 0.1
Weight ARMJAM 0.0
Weight CORETER 0.0
Weight CORMART 0.1
Weight ARMSEER 0.0
Weight CORVRAD 0.0
Weight ARMMERL 0.1
Weight ARMLATNK 0.6
Weight CORCREM 0.6
Weight ARMYORK 0.1
Weight CORSENT 0.1
Weight ARMMANNI 0.1
Weight ARMSCAB 0.2
Weight CORMABM 0.2
Weight ARMCIPH 0.4
Weight CORMMTH 0.1
Weight ARMBOA 0.2
Weight CORPEN 0.4
Weight CORSAT 0.1
//LEVEL 2 AIRCRAFT WEIGHTS
Weight ARMBRAWL 0.1
Weight CORAPE 0.1
Weight ARMPNIX 0.8
Weight CORHURC 0.8
Weight ARMBLADE 0.1
Weight ARMAWAC 0.1
Weight CORAWAC 0.1
Weight ARMSEHAK 0.1
Weight CORHUNT 0.1
Weight ARMSFIG 0.4
Weight ARMHAWK 0.4
Weight CORVAMP 0.4
Weight ARMLANCE 0.6
Weight CORTITAN 0.6
Weight ARMSEAP 0.4
Weight CORBOMBN 0.4
Weight ARMDRAGF 0.0
Weight CORFALC 0.0
Weight ARMTHORN 0.6
//LEVEL 2 SHIP WEIGHTS
Weight ARMCARRY 0.0
Weight CORCARRY 0.0
Weight ARMSUBK 0.0
Weight CORSHARK 0.0
Weight ARMMSHIP 0.0
Weight CORMSHIP 0.0
Weight ARMCRUS 0.0
Weight CORCRUS 0.0
Weight ARMBATS 0.0
Weight CORBATS 0.0
Weight CORSJAM 0.0
Weight ARMSCRAM 0.0
Weight ARMAAS 0.0
Weight CORARCH 0.0
Weight COROMNI 0.0
Weight ARMANNIS 0.0
Weight ARMPIKE 0.0
Weight CORSSUB 0.0
//LEVEL 2 HOVER WEIGHTS
Weight ARMDH 0.4
Weight CORDH 0.4
Weight ARMFH 0.8
Weight CORFH 0.8
Weight ARMHH 0.1
Weight CORHH 0.1
Weight ARMMH 0.6
Weight CORMH 0.6
Weight ARMMOOSE 0.1
Weight CORVICE 0.1
Weight ARMPHOVR 0.0
Weight CORPHOVR 0.0
//LEVEL 3 KBOT WEIGHTS
Weight ARMRAZ 0.1
Weight CORKETZ 0.1
Weight ARMWOLF 0.2
Weight CORGORG 0.2
Weight ARMZEPH 0.4
Weight CORJUP 0.4
Weight ARMSHIVA 0.1
Weight CORDEFIL 0.1
Weight ARMDRAKE 0.8
Weight CORKROG 0.8
//LEVEL 3 VEHICLE WEIGHTS
Weight ARMORCA 0.1
Weight CORPROTEUS 0.1
Weight ARMTIGER 0.4
Weight CORRATTLE 0.6
Weight ARMG2 0.6
Weight CORMDOOM 0.4
Weight ARMSCUDD 0.1
Weight CORPREC 0.1
Weight ARMMF 0.8
Weight CORMF 0.8
//LEVEL 3 AIRCRAFT WEIGHTS
Weight ARMGRYPH 0.1
Weight CORASTRA 0.1
Weight ARMBANI 0.4
Weight CORTEMM 0.4
Weight ARMODYC 0.6
Weight CORORCL 0.6
Weight ARMHERC 0.0
Weight CORMAT 0.0
Weight ARMBFB 0.8
Weight CORDAMA 0.8
//LEVEL 3 SHIP WEIGHTS
Weight ARMACAR 0.0
Weight CORACAR 0.0
Weight ARMBC 0.0
Weight CORBC 0.0
Weight ARMEPOCH 0.0
Weight CORMAG 0.0
Weight ARMXSUB 0.0
Weight CORXSUB 0.0
Weight ARMCAPS 0.0
Weight CORCAPS 0.0
//LEVEL 3 HOVER WEIGHTS
Weight ARMTEM 0.1
Weight CORFDEV 0.1
Weight ARMTOM 0.4
Weight CORADON 0.6
Weight ARMJACK 0.6
Weight CORADVRH 0.4
Weight ARMARTH 0.1
Weight CORARTH 0.1
Weight ARMDREDH 0.8
Weight CORBSWRD 0.8

//MEDIUM
plan medium

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.8
Weight CORAK 0.8
Weight ARMROCK 0.4
Weight CORSTORM 0.4
Weight ARMHAM 0.4
Weight CORTHUD 0.4
Weight ARMJETH 0.3
Weight CORCRASH 0.3
Weight ARMWAR 0.2
Weight CORMAK 0.2
Weight ARMFLEA 0.1
Weight CORBEETL 0.3
Weight ARMHDPW 0.3
//LEVEL 1 VEHICLES WEIGHTS
Weight ARMFAV 0.1
Weight CORFAV 0.1
Weight ARMFLASH 0.8
Weight CORGATOR 0.8
Weight ARMSTUMP 0.6
Weight CORRAID 0.6
Weight ARMSAM 0.3
Weight CORMIST 0.3
Weight ARMJANUS 0.6
Weight CORLEVLR 0.6
Weight ARMRECCY 0.8
Weight CORGARP 0.3
Weight ARMMLV 0.0
Weight CORMLV 0.0
Weight CORLAS 0.1
Weight ARMLMART 0.8
//LEVEL 1 AIRCRAFT WEIGHTS
Weight ARMPEEP 0.0
Weight CORFINK 0.0
Weight ARMFIG 0.8
Weight CORVENG 0.8
Weight ARMBLKE 0.6
Weight CORMOSQ 0.6
Weight ARMTHUND 0.4
Weight CORSHAD 0.4
Weight ARMATLAS 0.0
Weight CORVALK 0.0
//LEVEL 1 SHIP WEIGHTS
Weight ARMPT 0.0
Weight CORPT 0.0
Weight ARMROY 0.0
Weight CORROY 0.0
Weight ARMTSHIP 0.0
Weight CORTSHIP 0.0
Weight ARMSUB 0.0
Weight CORSUB 0.0
Weight ARMVANG 0.0
Weight CORVIKNG 0.0
//LEVEL 1 HOVER WEIGHTS
Weight ARMSH 0.1
Weight CORSH 0.1
Weight ARMAH 0.3
Weight CORAH 0.3
Weight ARMANAC 0.8
Weight CORSNAP 0.8
Weight ARMTHOVR 0.0
Weight CORTHOVR 0.0
//LEVEL 1 SPIDER WEIGHTS
Weight ARMSPID 0.1
Weight ARMSPDLA 0.8
Weight ARMSPDRK 0.4
Weight ARMSPDAA 0.2
Weight ARMSPDAM 0.3
Weight ARMSPDR 0.0
Weight ARMSPDJ 0.0
Weight ARMSPDLR 0.4
Weight ARMTARAN 0.6
Weight ARMSPDF 0.1
Weight ARMARSPD 0.0
Weight ARMSHOCK 0.9
//LEVEL 1 TORTOISE WEIGHTS
Weight CORHATCH 0.1
Weight CORAVAL 0.4
Weight CORCHEL 0.8
Weight CORSLING 0.2
Weight CORWRECK 0.6
Weight CORSCAN 0.0
Weight CORTJAM 0.0
Weight CORSNIPE 0.4
Weight CORBOSS 0.4
Weight CORTNT 0.0
Weight CORAIRRT 0.0
Weight CORCABER 0.1
//LEVEL 2 KBOT WEIGHTS
Weight ARMZEUS 0.4
Weight CORPYRO 0.6
Weight ARMFIDO 0.7
Weight CORMORT 0.7
Weight CORCAN 0.4
Weight ARMVADER 0.0
Weight CORROACH 0.0
Weight ARMASER 0.0
Weight CORSPEC 0.0
Weight ARMFAST 0.1
Weight CORFAST 0.1
Weight ARMMARK 0.0
Weight CORVOYR 0.0
Weight ARMMAV 0.5
Weight COREAVR 0.5
Weight ARMSNIPE 0.5
Weight CORHRK 0.5
Weight CORSUMO 0.5
Weight ARMAMPH 0.1
Weight CORAMPH 0.1
Weight ARMDECOM 0.8
Weight CORDECOM 0.8
Weight ARMSPY 0.0
Weight CORSPY 0.0
Weight ARMFARK 0.0
Weight CORNECRO 0.0
Weight ARMROVER 0.9
//LEVEL 2 VEHICLE WEIGHTS
Weight ARMCROC 0.4
Weight CORSEAL 0.4
Weight ARMBULL 0.8
Weight CORREAP 0.4
Weight CORGOL 0.4
Weight ARMJAM 0.0
Weight CORETER 0.0
Weight CORMART 0.8
Weight ARMSEER 0.0
Weight CORVRAD 0.0
Weight ARMMERL 0.1
Weight ARMLATNK 0.2
Weight CORCREM 0.6
Weight ARMYORK 0.1
Weight CORSENT 0.1
Weight ARMMANNI 0.3
Weight ARMSCAB 0.1
Weight CORMABM 0.1
Weight ARMCIPH 0.2
Weight CORMMTH 0.7
Weight ARMBOA 0.1
Weight CORPEN 0.1
Weight CORSAT 0.2
//LEVEL 2 AIRCRAFT WEIGHTS
Weight ARMBRAWL 0.8
Weight CORAPE 0.8
Weight ARMPNIX 0.2
Weight CORHURC 0.2
Weight ARMBLADE 0.7
Weight ARMAWAC 0.1
Weight CORAWAC 0.1
Weight ARMSEHAK 0.1
Weight CORHUNT 0.1
Weight ARMSFIG 0.8
Weight ARMHAWK 0.6
Weight CORVAMP 0.6
Weight ARMLANCE 0.2
Weight CORTITAN 0.2
Weight ARMSEAP 0.4
Weight CORBOMBN 0.4
Weight ARMDRAGF 0.0
Weight CORFALC 0.0
Weight ARMTHORN 0.6
//LEVEL 2 SHIP WEIGHTS
Weight ARMCARRY 0.0
Weight CORCARRY 0.0
Weight ARMSUBK 0.0
Weight CORSHARK 0.0
Weight ARMMSHIP 0.0
Weight CORMSHIP 0.0
Weight ARMCRUS 0.0
Weight CORCRUS 0.0
Weight ARMBATS 0.0
Weight CORBATS 0.0
Weight CORSJAM 0.0
Weight ARMSCRAM 0.0
Weight ARMAAS 0.0
Weight CORARCH 0.0
Weight ARMPIKE 0.0
Weight COROMNI 0.0
Weight ARMANNIS 0.0
Weight CORSSUB 0.0
//LEVEL 2 HOVER WEIGHTS
Weight ARMDH 0.2
Weight CORDH 0.2
Weight ARMFH 0.1
Weight CORFH 0.1
Weight ARMHH 0.8
Weight CORHH 0.8
Weight ARMMH 0.4
Weight CORMH 0.4
Weight ARMMOOSE 0.6
Weight CORVICE 0.6
Weight ARMPHOVR 0.0
Weight CORPHOVR 0.0
//LEVEL 3 KBOT WEIGHTS
Weight ARMRAZ 0.8
Weight CORKETZ 0.8
Weight ARMWOLF 0.6
Weight CORGORG 0.6
Weight ARMZEPH 0.2
Weight CORJUP 0.2
Weight ARMSHIVA 0.1
Weight CORDEFIL 0.1
Weight ARMDRAKE 0.1
Weight CORKROG 0.1
//LEVEL 3 VEHICLE WEIGHTS
Weight ARMORCA 0.8
Weight CORPROTEUS 0.8
Weight ARMTIGER 0.6
Weight CORRATTLE 0.4
Weight ARMG2 0.4
Weight CORMDOOM 0.6
Weight ARMSCUDD 0.1
Weight CORPREC 0.1
Weight ARMMF 0.1
Weight CORMF 0.1
//LEVEL 3 AIRCRAFT WEIGHTS
Weight ARMGRYPH 0.8
Weight CORASTRA 0.8
Weight ARMBANI 0.6
Weight CORTEMM 0.6
Weight ARMODYC 0.4
Weight CORORCL 0.4
Weight ARMHERC 0.0
Weight CORMAT 0.0
Weight ARMBFB 0.1
Weight CORDAMA 0.1
//LEVEL 3 SHIP WEIGHTS
Weight ARMACAR 0.0
Weight CORACAR 0.0
Weight ARMBC 0.0
Weight CORBC 0.0
Weight ARMEPOCH 0.0
Weight CORMAG 0.0
Weight ARMXSUB 0.0
Weight CORXSUB 0.0
Weight ARMCAPS 0.0
Weight CORCAPS 0.0
//LEVEL 3 HOVER WEIGHTS
Weight ARMTEM 0.8
Weight CORFDEV 0.8
Weight ARMTOM 0.6
Weight CORADON 0.4
Weight ARMJACK 0.5
Weight CORADVRH 0.6
Weight ARMARTH 0.4
Weight CORARTH 0.2
Weight ARMDREDH 0.1
Weight CORBSWRD 0.1

//hard
plan hard

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.3
Weight CORAK 0.3
Weight ARMROCK 0.8
Weight CORSTORM 0.8
Weight ARMHAM 0.6
Weight CORTHUD 0.6
Weight ARMJETH 0.3
Weight CORCRASH 0.3
Weight ARMWAR 0.4
Weight CORMAK 0.4
Weight ARMFLEA 0.1
Weight CORBEETL 0.3
Weight ARMHDPW 0.3
//LEVEL 1 VEHICLES WEIGHTS
Weight ARMFAV 0.1
Weight CORFAV 0.1
Weight ARMFLASH 0.6
Weight CORGATOR 0.8
Weight ARMSTUMP 0.6
Weight CORRAID 0.6
