// Made by SnakeInTheMirror
// Waterworld profile, only things that go in water

//UNIVERSAL WEIGHTS/LIMITS

//LEVEL 2 AIRCRAFT LIMITS
Limit ARMSEHAK 1
Limit ARMDRAGF 0
Limit CORFALC 0
Limit ARMAWAC 1
Limit CORAWAC 1
Limit CORHUNT 1
//LEVEL 2 SHIP LIMITS
Limit ARMCARRY 1
Limit CORCARRY 1
Limit CORSJAM 0
Limit ARMSCRAM 0
//LEVEL 2 HOVER LIMITS
Limit ARMPHOVR 0
Limit CORPHOVR 0
//LEVEL 3 VEHICLE LIMITS
Limit ARMSCUDD 1
Limit CORPREC 1
//LEVEL 3 AIRCRAFT LIMITS
Limit ARMODYC 2
Limit CORORCL 2
Limit ARMHERC 0
Limit CORMAT 0
Limit ARMBFB 2
Limit CORDAMA 2
//LEVEL 3 SHIP LIMITS
Limit ARMACAR 1
Limit CORACAR 1

//EASY
plan easy

Limit AIAMEXC 0
Limit AIAUWMEXC 3
Limit AICMEXC 0
Limit AICUWMEXC 3

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.0
Weight CORAK 0.0
Weight ARMROCK 0.0
Weight CORSTORM 0.0
Weight ARMHAM 0.0
Weight CORTHUD 0.0
Weight ARMJETH 0.0
Weight CORCRASH 0.0
Weight ARMWAR 0.0
Weight CORMAK 0.0
Weight ARMFLEA 0.0
Weight CORBEETL 0.0
Weight ARMHDPW 0.0
//LEVEL 1 VEHICLES WEIGHTS
Weight ARMFAV 0.0
Weight CORFAV 0.0
Weight ARMFLASH 0.0
Weight CORGATOR 0.0
Weight ARMSTUMP 0.0
Weight CORRAID 0.0
Weight ARMSAM 0.0
Weight CORMIST 0.0
Weight ARMJANUS 0.0
Weight CORLEVLR 0.0
Weight ARMRECCY 0.0
Weight CORGARP 0.0
Weight ARMMLV 0.0
Weight CORMLV 0.0
Weight CORLAS 0.1
Weight ARMLMART 0.0
//LEVEL 1 AIRCRAFT WEIGHTS
Weight ARMPEEP 0.0
Weight CORFINK 0.0
Weight ARMFIG 0.0
Weight CORVENG 0.0
Weight ARMBLKE 0.0
Weight CORMOSQ 0.0
Weight ARMTHUND 0.0
Weight CORSHAD 0.0
Weight ARMATLAS 0.0
Weight CORVALK 0.0
//LEVEL 1 SHIP WEIGHTS
Weight ARMPT 0.8
Weight CORPT 0.8
Weight ARMROY 0.1
Weight CORROY 0.1
Weight ARMTSHIP 0.0
Weight CORTSHIP 0.0
Weight ARMSUB 0.2
Weight CORSUB 0.2
Weight ARMVANG 0.6
Weight CORVIKNG 0.6
//LEVEL 1 HOVER WEIGHTS
Weight ARMSH 0.8
Weight CORSH 0.8
Weight ARMAH 0.6
Weight CORAH 0.6
Weight ARMANAC 0.1
Weight CORSNAP 0.1
Weight ARMTHOVR 0.0
Weight CORTHOVR 0.0
//LEVEL 1 SPIDER WEIGHTS
Weight ARMSPID 0.0
Weight ARMSPDLA 0.0
Weight ARMSPDRK 0.0
Weight ARMSPDAA 0.0
Weight ARMSPDAM 0.0
Weight ARMSPDR 0.0
Weight ARMSPDJ 0.0
Weight ARMSPDLR 0.0
Weight ARMTARAN 0.0
Weight ARMSPDF 0.0
Weight ARMARSPD 0.0
Weight ARMSHOCK 0.0
//LEVEL 1 TORTOISE WEIGHTS
Weight CORHATCH 0.0
Weight CORAVAL 0.0
Weight CORCHEL 0.0
Weight CORSLING 0.0
Weight CORWRECK 0.0
Weight CORSCAN 0.0
Weight CORTJAM 0.0
Weight CORSNIPE 0.0
Weight CORBOSS 0.0
Weight CORTNT 0.0
Weight CORAIRRT 0.0
Weight CORCABER 0.0
//LEVEL 2 KBOT WEIGHTS
Weight ARMZEUS 0.0
Weight CORPYRO 0.0
Weight ARMFIDO 0.0
Weight CORMORT 0.0
Weight CORCAN 0.0
Weight ARMVADER 0.0
Weight CORROACH 0.0
Weight ARMASER 0.0
Weight CORSPEC 0.0
Weight ARMFAST 0.0
Weight CORFAST 0.0
Weight ARMMARK 0.0
Weight CORVOYR 0.0
Weight ARMMAV 0.0
Weight COREAVR 0.0
Weight ARMSNIPE 0.0
Weight CORHRK 0.0
Weight CORSUMO 0.0
Weight ARMAMPH 0.0
Weight CORAMPH 0.0
Weight ARMDECOM 0.0
Weight CORDECOM 0.0
Weight ARMSPY 0.0
Weight CORSPY 0.0
Weight ARMFARK 0.0
Weight CORNECRO 0.0
Weight ARMROVER 0.0
//LEVEL 2 VEHICLE WEIGHTS
Weight ARMCROC 0.0
Weight CORSEAL 0.0
Weight ARMBULL 0.0
Weight CORREAP 0.0
Weight CORGOL 0.0
Weight ARMJAM 0.0
Weight CORETER 0.0
Weight CORMART 0.0
Weight ARMSEER 0.0
Weight CORVRAD 0.0
Weight ARMMERL 0.0
Weight ARMLATNK 0.0
Weight CORCREM 0.0
Weight ARMYORK 0.0
Weight CORSENT 0.0
Weight ARMMANNI 0.0
Weight ARMSCAB 0.0
Weight CORMABM 0.0
Weight ARMCIPH 0.0
Weight CORMMTH 0.0
Weight ARMBOA 0.0
Weight CORPEN 0.0
Weight CORSAT 0.0
//LEVEL 2 AIRCRAFT WEIGHTS
Weight ARMBRAWL 0.1
Weight CORAPE 0.1
Weight ARMPNIX 0.8
Weight CORHURC 0.8
Weight ARMBLADE 0.1
Weight ARMAWAC 0.1
Weight CORAWAC 0.1
Weight ARMSEHAK 0.1
Weight CORHUNT 0.1
Weight ARMSFIG 0.4
Weight ARMHAWK 0.4
Weight CORVAMP 0.4
Weight ARMLANCE 0.6
Weight CORTITAN 0.6
Weight ARMSEAP 0.4
Weight CORBOMBN 0.4
Weight ARMDRAGF 0.0
Weight CORFALC 0.0
Weight ARMTHORN 0.6
//LEVEL 2 SHIP WEIGHTS
Weight ARMCARRY 0.1
Weight CORCARRY 0.1
Weight ARMSUBK 0.6
Weight CORSHARK 0.6
Weight ARMMSHIP 0.2
Weight CORMSHIP 0.2
Weight ARMCRUS 0.8
Weight CORCRUS 0.8
Weight ARMBATS 0.1
Weight CORBATS 0.1
Weight CORSJAM 0.0
Weight ARMSCRAM 0.0
Weight ARMAAS 0.2
Weight CORARCH 0.2
Weight COROMNI 0.4
Weight ARMANNIS 0.1
Weight ARMPIKE 0.4
Weight CORSSUB 0.4
//LEVEL 2 HOVER WEIGHTS
Weight ARMDH 0.4
Weight CORDH 0.4
Weight ARMFH 0.8
Weight CORFH 0.8
Weight ARMHH 0.1
Weight CORHH 0.1
Weight ARMMH 0.6
Weight CORMH 0.6
Weight ARMMOOSE 0.1
Weight CORVICE 0.1
Weight ARMPHOVR 0.0
Weight CORPHOVR 0.0
//LEVEL 3 KBOT WEIGHTS
Weight ARMRAZ 0.0
Weight CORKETZ 0.0
Weight ARMWOLF 0.0
Weight CORGORG 0.0
Weight ARMZEPH 0.0
Weight CORJUP 0.0
Weight ARMSHIVA 0.0
Weight CORDEFIL 0.0
Weight ARMDRAKE 0.0
Weight CORKROG 0.0
//LEVEL 3 VEHICLE WEIGHTS
Weight ARMORCA 0.0
Weight CORPROTEUS 0.0
Weight ARMTIGER 0.0
Weight CORRATTLE 0.0
Weight ARMG2 0.0
Weight CORMDOOM 0.0
Weight ARMSCUDD 0.0
Weight CORPREC 0.0
Weight ARMMF 0.0
Weight CORMF 0.0
//LEVEL 3 AIRCRAFT WEIGHTS
Weight ARMGRYPH 0.0
Weight CORASTRA 0.0
Weight ARMBANI 0.0
Weight CORTEMM 0.0
Weight ARMODYC 0.0
Weight CORORCL 0.0
Weight ARMHERC 0.0
Weight CORMAT 0.0
Weight ARMBFB 0.0
Weight CORDAMA 0.0
//LEVEL 3 SHIP WEIGHTS
Weight ARMACAR 0.2
Weight CORACAR 0.2
Weight ARMBC 0.4
Weight CORBC 0.4
Weight ARMEPOCH 0.1
Weight CORMAG 0.1
Weight ARMXSUB 0.6
Weight CORXSUB 0.6
Weight ARMCAPS 0.8
Weight CORCAPS 0.8
//LEVEL 3 HOVER WEIGHTS
Weight ARMTEM 0.1
Weight CORFDEV 0.1
Weight ARMTOM 0.4
Weight CORADON 0.6
Weight ARMJACK 0.6
Weight CORADVRH 0.4
Weight ARMARTH 0.1
Weight CORARTH 0.1
Weight ARMDREDH 0.8
Weight CORBSWRD 0.8

//MEDIUM
plan medium

Limit AIAMEXC 0
Limit AIAUWMEXC 5
Limit AICMEXC 0
Limit AICUWMEXC 5

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.0
Weight CORAK 0.0
Weight ARMROCK 0.0
Weight CORSTORM 0.0
Weight ARMHAM 0.0
Weight CORTHUD 0.0
Weight ARMJETH 0.0
Weight CORCRASH 0.0
Weight ARMWAR 0.0
Weight CORMAK 0.0
Weight ARMFLEA 0.0
Weight CORBEETL 0.0
Weight ARMHDPW 0.0
//LEVEL 1 VEHICLES WEIGHTS
Weight ARMFAV 0.0
Weight CORFAV 0.0
Weight ARMFLASH 0.0
Weight CORGATOR 0.0
Weight ARMSTUMP 0.0
Weight CORRAID 0.0
Weight ARMSAM 0.0
Weight CORMIST 0.0
Weight ARMJANUS 0.0
Weight CORLEVLR 0.0
Weight ARMRECCY 0.0
Weight CORGARP 0.0
Weight ARMMLV 0.0
Weight CORMLV 0.0
Weight CORLAS 0.1
Weight ARMLMART 0.0
//LEVEL 1 AIRCRAFT WEIGHTS
Weight ARMPEEP 0.0
Weight CORFINK 0.0
Weight ARMFIG 0.0
Weight CORVENG 0.0
Weight ARMBLKE 0.0
Weight CORMOSQ 0.0
Weight ARMTHUND 0.0
Weight CORSHAD 0.0
Weight ARMATLAS 0.0
Weight CORVALK 0.0
//LEVEL 1 SHIP WEIGHTS
Weight ARMPT 0.1
Weight CORPT 0.1
Weight ARMROY 0.4
Weight CORROY 0.4
Weight ARMTSHIP 0.0
Weight CORTSHIP 0.0
Weight ARMSUB 0.4
Weight CORSUB 0.4
Weight ARMVANG 0.8
Weight CORVIKNG 0.8
//LEVEL 1 HOVER WEIGHTS
Weight ARMSH 0.1
Weight CORSH 0.1
Weight ARMAH 0.3
Weight CORAH 0.3
Weight ARMANAC 0.8
Weight CORSNAP 0.8
Weight ARMTHOVR 0.0
Weight CORTHOVR 0.0
//LEVEL 1 SPIDER WEIGHTS
Weight ARMSPID 0.0
Weight ARMSPDLA 0.0
Weight ARMSPDRK 0.0
Weight ARMSPDAA 0.0
Weight ARMSPDAM 0.0
Weight ARMSPDR 0.0
Weight ARMSPDJ 0.0
Weight ARMSPDLR 0.0
Weight ARMTARAN 0.0
Weight ARMSPDF 0.0
Weight ARMARSPD 0.0
Weight ARMSHOCK 0.0
//LEVEL 1 TORTOISE WEIGHTS
Weight CORHATCH 0.0
Weight CORAVAL 0.0
Weight CORCHEL 0.0
Weight CORSLING 0.0
Weight CORWRECK 0.0
Weight CORSCAN 0.0
Weight CORTJAM 0.0
Weight CORSNIPE 0.0
Weight CORBOSS 0.0
Weight CORTNT 0.0
Weight CORAIRRT 0.0
Weight CORCABER 0.0
//LEVEL 2 KBOT WEIGHTS
Weight ARMZEUS 0.0
Weight CORPYRO 0.0
Weight ARMFIDO 0.0
Weight CORMORT 0.0
Weight CORCAN 0.0
Weight ARMVADER 0.0
Weight CORROACH 0.0
Weight ARMASER 0.0
Weight CORSPEC 0.0
Weight ARMFAST 0.0
Weight CORFAST 0.0
Weight ARMMARK 0.0
Weight CORVOYR 0.0
Weight ARMMAV 0.0
Weight COREAVR 0.0
Weight ARMSNIPE 0.0
Weight CORHRK 0.0
Weight CORSUMO 0.0
Weight ARMAMPH 0.0
Weight CORAMPH 0.0
Weight ARMDECOM 0.0
Weight CORDECOM 0.0
Weight ARMSPY 0.0
Weight CORSPY 0.0
Weight ARMFARK 0.0
Weight CORNECRO 0.0
Weight ARMROVER 0.0
//LEVEL 2 VEHICLE WEIGHTS
Weight ARMCROC 0.0
Weight CORSEAL 0.0
Weight ARMBULL 0.0
Weight CORREAP 0.0
Weight CORGOL 0.0
Weight ARMJAM 0.0
Weight CORETER 0.0
Weight CORMART 0.0
Weight ARMSEER 0.0
Weight CORVRAD 0.0
Weight ARMMERL 0.0
Weight ARMLATNK 0.0
Weight CORCREM 0.0
Weight ARMYORK 0.0
Weight CORSENT 0.0
Weight ARMMANNI 0.0
Weight ARMSCAB 0.0
Weight CORMABM 0.0
Weight ARMCIPH 0.0
Weight CORMMTH 0.0
Weight ARMBOA 0.0
Weight CORPEN 0.0
Weight CORSAT 0.0
//LEVEL 2 AIRCRAFT WEIGHTS
Weight ARMBRAWL 0.8
Weight CORAPE 0.8
Weight ARMPNIX 0.2
Weight CORHURC 0.2
Weight ARMBLADE 0.7
Weight ARMAWAC 0.1
Weight CORAWAC 0.1
Weight ARMSEHAK 0.1
Weight CORHUNT 0.1
Weight ARMSFIG 0.8
Weight ARMHAWK 0.6
Weight CORVAMP 0.6
Weight ARMLANCE 0.2
Weight CORTITAN 0.2
Weight ARMSEAP 0.4
Weight CORBOMBN 0.4
Weight ARMDRAGF 0.0
Weight CORFALC 0.0
Weight ARMTHORN 0.6
//LEVEL 2 SHIP WEIGHTS
Weight ARMCARRY 0.1
Weight CORCARRY 0.1
Weight ARMSUBK 0.3
Weight CORSHARK 0.3
Weight ARMMSHIP 0.2
Weight CORMSHIP 0.2
Weight ARMCRUS 0.6
Weight CORCRUS 0.6
Weight ARMBATS 0.8
Weight CORBATS 0.8
Weight CORSJAM 0.0
Weight ARMSCRAM 0.0
Weight ARMAAS 0.1
Weight CORARCH 0.1
Weight ARMPIKE 0.3
Weight COROMNI 0.3
Weight ARMANNIS 0.5
Weight CORSSUB 0.5
//LEVEL 2 HOVER WEIGHTS
Weight ARMDH 0.2
Weight CORDH 0.2
Weight ARMFH 0.1
Weight CORFH 0.1
Weight ARMHH 0.8
Weight CORHH 0.8
Weight ARMMH 0.4
Weight CORMH 0.4
Weight ARMMOOSE 0.6
Weight CORVICE 0.6
Weight ARMPHOVR 0.0
Weight CORPHOVR 0.0
//LEVEL 3 KBOT WEIGHTS
Weight ARMRAZ 0.0
Weight CORKETZ 0.0
Weight ARMWOLF 0.0
Weight CORGORG 0.0
Weight ARMZEPH 0.0
Weight CORJUP 0.0
Weight ARMSHIVA 0.0
Weight CORDEFIL 0.0
Weight ARMDRAKE 0.0
Weight CORKROG 0.0
//LEVEL 3 VEHICLE WEIGHTS
Weight ARMORCA 0.0
Weight CORPROTEUS 0.0
Weight ARMTIGER 0.0
Weight CORRATTLE 0.0
Weight ARMG2 0.0
Weight CORMDOOM 0.0
Weight ARMSCUDD 0.0
Weight CORPREC 0.0
Weight ARMMF 0.0
Weight CORMF 0.0
//LEVEL 3 AIRCRAFT WEIGHTS
Weight ARMGRYPH 0.0
Weight CORASTRA 0.0
Weight ARMBANI 0.0
Weight CORTEMM 0.0
Weight ARMODYC 0.0
Weight CORORCL 0.0
Weight ARMHERC 0.0
Weight CORMAT 0.0
Weight ARMBFB 0.0
Weight CORDAMA 0.0
//LEVEL 3 SHIP WEIGHTS
Weight ARMACAR 0.1
Weight CORACAR 0.1
Weight ARMBC 0.6
Weight CORBC 0.6
Weight ARMEPOCH 0.8
Weight CORMAG 0.8
Weight ARMXSUB 0.4
Weight CORXSUB 0.4
Weight ARMCAPS 0.1
Weight CORCAPS 0.1
//LEVEL 3 HOVER WEIGHTS
Weight ARMTEM 0.8
Weight CORFDEV 0.8
Weight ARMTOM 0.6
Weight CORADON 0.4
Weight ARMJACK 0.5
Weight CORADVRH 0.6
Weight ARMARTH 0.4
Weight CORARTH 0.2
Weight ARMDREDH 0.1
Weight CORBSWRD 0.1

//hard
plan hard

Limit AIAMEXC 0
Limit AIAUWMEXC 9
Limit AICMEXC 0
Limit AICUWMEXC 9

//WEIGHTS

//LEVEL 1 KBOTS WEIGHTS
Weight ARMPW 0.0
Weight CORAK 0.0
Weight ARMROCK 0.0
Weight CORSTORM 0.0
Weight ARMHAM 0.0
Weight CORTHUD 0.0
Weight ARMJETH 0.0
